Title,Rating,Author,Author Gender,Publication Date,Page Count,Statues,Genre,Sub-Genre,Synopsis
These Violent Delights,4.4,Chloe Gong,Female,2020,488,Series,Romance,Y/A Novel,"The year is 1926, and Shanghai hums to the tune of debauchery. /n

A blood feud between two gangs runs the streets red, leaving the city helpless in the grip of chaos. At the heart of it all is eighteen-year-old Juliette Cai, a former flapper who has returned to assume her role as the proud heir of the Scarlet Gang—a network of criminals far above the law. Their /n only rivals in power are the White Flowers, who have fought the Scarlets for generations. And behind every move is their heir, Roma Montagov, Juliette’s first love…and first betrayal. /n

But when gangsters on both sides show signs of instability culminating in clawing their own throats out, the people start to whisper. Of a contagion, a madness. Of a monster in the shadows. As the deaths stack up, Juliette and Roma must set their guns—and grudges—aside and work /n together, for if they can’t stop this mayhem, then there will be no city left for either to rule. /n
"
The Hunger Games,4.7,Suzanne Collins,Female,2008,368,Series,Dystopian,Romance,"In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to death before-and survival, for her, is second nature. Still, if she is to win, she will have to start making choices that weigh survival against humanity and life against love."
The Hired Girl,4.4,Laura Amy Schlitz,Female,2015,400,Stand Alone,Realistic Fiction,Romance,"Fourteen-year-old Joan Skraggs, just like the heroines in her beloved novels, yearns for real life and true love. Over the summer of 1911, Joan pours her heart and her hope out into her diary — because maybe, just maybe, a hired girl cleaning and cooking for six dollars a week can become what a farm girl could only dream of: a woman with a future. Newbery Medalist Laura Amy Schlitz brings her delicious wit and keen eye to early twentieth-century America in a moving yet comedic tour de force, available in paperback."
Foul Lady Fortune,4.4,Chloe Gong,Female,2022,368,Series,Romance,Y/A Novel,"It’s 1931 in Shanghai, and the stage is set for a new decade of intrigue.Four years ago, Rosalind Lang was brought back from the brink of death, but the strange experiment that saved her also stopped her from sleeping and aging—and allows her to heal from any wound. In short, Rosalind cannot die. Now, desperate for redemption for her traitorous past, she uses her abilities as an assassin for her country.Code name: Fortune.But when the Japanese Imperial Army begins its invasion march, Rosalind’s missionpivots. A series of murders is causing unrest in Shanghai, and the Japanese are under suspicion. Rosalind’s new orders are to infiltrate foreign society and identify the culprits behind the terror plot before more of her people are killed.To reduce suspicion, however, she must pose as the wife of another Nationalist spy, Orion Hong, and though Rosalind finds Orion’s cavalier attitude and playboy demeanor infuriating, she is willing to work with him for the greater good. But Orion has an agenda of his own, and Rosalind has secrets that she wants to keep buried. As they both attempt to unravel the conspiracy, the two spies soon find that there are deeper and more horrifying layers to this mystery than they ever imagined."
The Swap,4.6,Megan Shull,Female,2016,400,Stand Alone,Romance,Realistic Fiction,"""You be me.... and I'll be you.""

Ellie spent the summer before seventh grade getting dropped by her best friend since forever. Jack spent it training in ""The Cage"" with his tough-as-nails brothers and hard-to-please dad. By the time middle school starts, they're both ready for a change. And just as Jack's thinking girls have it so easy, Ellie's wishing she could be anyone but herself.

Then, BAM! They swap lives - and bodies!

Now Jack's fending off mean girls at sleepover parties, while Ellie's reigning as The Prince of Thatcher Middle School.

As their crazy weekend races on - and their feelings for each other grow - Ellie and Jack begin to wonder if maybe the best way to learn how to be yourself is to spend a little time being somebody else."
A Dog's Purpose,4.7,W. Bruce Cameron,Male,2016,363,Series,Adventure,Comedy,"Heartwarming, insightful, and often laugh-out-loud funny, A Dog's Purpose is not only the emotional and hilarious story of a dog's many lives, but also a dog's-eye commentary on human relationships and the unbreakable bonds between man and man's best friend. This moving and beautifully crafted story teaches us that love never dies, that our true friends are always with us, and that every creature on earth is born with a purpose."
Harry Potter,4.9,J.K. Rowling,Female,1994,595,Series,Adventure,Fantasy,"Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny."
Mirror Visitor,4.5,Christelle Dabos,Female,2020,517,Series,Sci-Fi,Romance,"Plain-spoken, headstrong Ophelia cares little about appearances. Her ability to read the past of objects is unmatched in all of Anima and, what’s more, she possesses the ability to travel through mirrors, a skill passed down to her from previous generations. Her idyllic life is disrupted, however, when she is promised in marriage to Thorn, a taciturn and influential member of a distant clan. Ophelia must leave all she knows behind and follow her fiancé to Citaceleste, the capital of a cold, icy ark known as the Pole, where danger lurks around every corner and nobody can be trusted. There, in the presence of her inscrutable future husband, Ophelia slowly realizes that she is a pawn in a political game that will have far-reaching ramifications not only for her but for her entire world.

The World of the Arks

Long ago, following a cataclysm called the Rupture, the world was shattered into many floating celestial islands, now known as arks. Over each, the spirit of an omnipotent and immortal ancestor abides. The inhabitants of these arks each possess a unique power. Ophelia, with her ability to read the pasts of objects, must navigate this fantastic, disjointed, perilous world using her trademark tenacity and quiet strength."
A Snicker of Magic,4.6,Natalie Lloyd,Female,2015,336,Stand Alone,Adventure,Fantasy,"Midnight Gulch used to be a magical place, a town where people could sing up thunderstorms and dance up sunflowers. But that was long ago, before a curse drove the magic away. Twelve-year-old Felicity knows all about things like that; her nomadic mother is cursed with a wandering heart. But when she arrives in Midnight Gulch, Felicity thinks her luck's about to change. A """"word collector,"""" Felicity sees words everywhere---shining above strangers, tucked into church eves, and tangled up her dog's floppy ears---but Midnight Gulch is the first place she's ever seen the word """"home."""" And then there's Jonah, a mysterious, spiky-haired do-gooder who shimmers with words Felicity's never seen before, words that make Felicity's heart beat a little faster. Felicity wants to stay in Midnight Gulch more than anything, but first, she'll need to figure out how to bring back the magic, breaking the spell that's been cast over the town . . . and her mother's broken heart.
"
Everything Everything,4.6,Nicola Yoon,Female,2017,352,Stand Alone,Romance,Y/A Novel,"My disease is as rare as it is famous. Basically, I’m allergic to the world.I don’t leave my house, have not left my house in seventeen years. The only people I ever see are my mom and my nurse, Carla.
 
But then one day, a moving truck arrives next door. I look out my window, and I see him. He's tall, lean and wearing all black—black T-shirt, black jeans, black sneakers, and a black knit cap that covers his hair completely. He catches me looking and stares at me. I stare right back. His name is Olly.
 
Maybe we can’t predict the future, but we can predict some things. For example, I am certainly going to fall in love with Olly. It’s almost certainly going to be a disaster."
